ENSEGOT00005000002.1	MTRR
ENSEGOT00005000064.1	SLC6A19
ENSEGOT00005000065.1	SLC6A18
ENSEGOT00005000066.1	TERT
ENSEGOT00005000067.1	TERT
ENSEGOT00005000068.1	TERT
ENSEGOT00005000069.1	TERT
ENSEGOT00005000070.1	CLPTM1L
ENSEGOT00005000071.1	LPCAT1
ENSEGOT00005000072.1	NDUFS6
ENSEGOT00005000073.1	NDUFS6
ENSEGOT00005000074.1	IRX4
ENSEGOT00005000077.1	IRX2
ENSEGOT00005000081.1	IRX1
ENSEGOT00005000082.1	ANKS6
ENSEGOT00005000083.1	ANKS6
ENSEGOT00005000084.1	GALNT12
ENSEGOT00005000085.1	GALNT12
ENSEGOT00005000086.1	GABBR2
ENSEGOT00005000087.1	ELP2
ENSEGOT00005000088.1	CTNNAL1
ENSEGOT00005000089.1	CTNNAL1
ENSEGOT00005000090.1	ABITRAM
ENSEGOT00005000091.1	SLC39A6
ENSEGOT00005000092.1	SLC39A6
ENSEGOT00005000093.1	TMEFF1
ENSEGOT00005000094.1	CAVIN4
ENSEGOT00005000101.1	EXOC3
ENSEGOT00005000102.1	PDCD6
ENSEGOT00005000103.1	LOC100230122
ENSEGOT00005000104.1	LOC100230122
ENSEGOT00005000105.1	AHRR
ENSEGOT00005000106.1	MSANTD3
ENSEGOT00005000108.1	LOC100228270
ENSEGOT00005000109.1	TEX10
ENSEGOT00005000110.1	INVS
ENSEGOT00005000111.1	ERP44
ENSEGOT00005000112.1	STX17
ENSEGOT00005000113.1	NR4A3
ENSEGOT00005000115.1	ALG2
ENSEGOT00005000116.1	IFI6
ENSEGOT00005000117.1	GLIPR2
ENSEGOT00005000118.1	BLOC1S4
ENSEGOT00005000119.1	PARD6G
ENSEGOT00005000120.1	SCGN
ENSEGOT00005000121.1	CARMIL1
ENSEGOT00005000122.1	CARMIL1
ENSEGOT00005000123.1	CARMIL1
ENSEGOT00005000124.1	RIPOR2
ENSEGOT00005000125.1	RIPOR2
ENSEGOT00005000126.1	GMNN
ENSEGOT00005000127.1	GMNN
ENSEGOT00005000128.1	C6orf62
ENSEGOT00005000130.1	TDP2
ENSEGOT00005000131.1	TDP2
ENSEGOT00005000132.1	GALR1
ENSEGOT00005000133.1	MBP
ENSEGOT00005000134.1	MBP
ENSEGOT00005000135.1	MBP
ENSEGOT00005000136.1	ZNF236
ENSEGOT00005000137.1	ZNF236
ENSEGOT00005000138.1	ZNF516
ENSEGOT00005000140.1	TSHZ1
ENSEGOT00005000141.1	PTGR3
ENSEGOT00005000142.1	ZNF407
ENSEGOT00005000143.1	CNDP1
ENSEGOT00005000144.1	CNDP1
ENSEGOT00005000145.1	CNDP2
ENSEGOT00005000146.1	DIPK1C
ENSEGOT00005000149.1	CYB5A
ENSEGOT00005000150.1	TIMM21
ENSEGOT00005000151.1	FBXO15
ENSEGOT00005000152.1	FBXO15
ENSEGOT00005000153.1	FBXO15
ENSEGOT00005000154.1	NETO1
ENSEGOT00005000155.1	CBLN2
ENSEGOT00005000156.1	SOCS6
ENSEGOT00005000157.1	RTTN
ENSEGOT00005000158.1	DOK6
ENSEGOT00005000159.1	CCDC102A
ENSEGOT00005000160.1	TMX3
ENSEGOT00005000162.1	LOC100223004
ENSEGOT00005000163.1	DSEL
ENSEGOT00005000165.1	CDH19
ENSEGOT00005000166.1	CDH7
ENSEGOT00005000167.1	MC5R
ENSEGOT00005000168.1	MC5R
ENSEGOT00005000169.1	RNMT
ENSEGOT00005000170.1	FAM210A
ENSEGOT00005000171.1	RNMT
ENSEGOT00005000172.1	RNMT
ENSEGOT00005000173.1	CEP192
ENSEGOT00005000174.1	SEH1L
ENSEGOT00005000175.1	PTPN2
ENSEGOT00005000176.1	PSMG2
ENSEGOT00005000177.1	CEP76
ENSEGOT00005000178.1	SPIRE1
ENSEGOT00005000179.1	SPIRE1
ENSEGOT00005000180.1	PRELID3A
ENSEGOT00005000181.1	AFG3L2
ENSEGOT00005000182.1	TUBB6
ENSEGOT00005000183.1	CIDEA
ENSEGOT00005000184.1	IMPA2
ENSEGOT00005000185.1	IMPA2
ENSEGOT00005000187.1	MPPE1
ENSEGOT00005000188.1	GNAL
ENSEGOT00005000189.1	PIEZO2
ENSEGOT00005000190.1	PIEZO2
ENSEGOT00005000191.1	NAPG
ENSEGOT00005000193.1	APCDD1
ENSEGOT00005000194.1	VAPA
ENSEGOT00005000195.1	VAPA
ENSEGOT00005000196.1	RAB31
ENSEGOT00005000197.1	RAB31
ENSEGOT00005000198.1	PPP4R1
ENSEGOT00005000199.1	RALBP1
ENSEGOT00005000200.1	TWSG1
ENSEGOT00005000203.1	ANKRD12
ENSEGOT00005000204.1	NDUFV2
ENSEGOT00005000205.1	MTCL1
ENSEGOT00005000206.1	MTCL1
ENSEGOT00005000207.1	MTCL1
ENSEGOT00005000208.1	RAB12
ENSEGOT00005000209.1	RAB12
ENSEGOT00005000210.1	PTPRM
ENSEGOT00005000212.1	LAMA2
ENSEGOT00005000213.1	LAMA2
ENSEGOT00005000214.1	LAMA1
ENSEGOT00005000215.1	ARHGAP28
ENSEGOT00005000216.1	ARHGAP28
ENSEGOT00005000217.1	ARHGAP28
ENSEGOT00005000218.1	TMEM200C
ENSEGOT00005000220.1	EPB41L3
ENSEGOT00005000221.1	EPB41L3
ENSEGOT00005000222.1	ZBTB14
ENSEGOT00005000223.1	AKAIN1
ENSEGOT00005000224.1	DLGAP1
ENSEGOT00005000225.1	DLGAP1
ENSEGOT00005000226.1	DLGAP1
ENSEGOT00005000227.1	TGIF1
ENSEGOT00005000228.1	TGIF1
ENSEGOT00005000229.1	LOC100218287
ENSEGOT00005000230.1	MYOM1
ENSEGOT00005000231.1	MYOM1
ENSEGOT00005000232.1	LPIN2
ENSEGOT00005000233.1	EMILIN2
ENSEGOT00005000234.1	SMCHD1
ENSEGOT00005000235.1	NDC80
ENSEGOT00005000236.1	METTL4
ENSEGOT00005000237.1	ADCYAP1
ENSEGOT00005000238.1	YES1
ENSEGOT00005000240.1	TYMS
ENSEGOT00005000241.1	CLUL1
ENSEGOT00005000242.1	COLEC12
ENSEGOT00005000243.1	THOC1
ENSEGOT00005000244.1	THOC1
ENSEGOT00005000245.1	USP14
ENSEGOT00005000246.1	ROCK1
ENSEGOT00005000247.1	ROCK1
ENSEGOT00005000249.1	GREB1L
ENSEGOT00005000250.1	GREB1L
ENSEGOT00005000251.1	ESCO1
ENSEGOT00005000252.1	ABHD3
ENSEGOT00005000253.1	MIB1
ENSEGOT00005000256.1	GATA6
ENSEGOT00005000259.1	RBBP8
ENSEGOT00005000260.1	CABLES1
ENSEGOT00005000261.1	TMEM241
ENSEGOT00005000262.1	RIOK3
ENSEGOT00005000263.1	RMC1
ENSEGOT00005000264.1	NPC1
ENSEGOT00005000265.1	ANKRD29
ENSEGOT00005000267.1	TTC39C
ENSEGOT00005000268.1	OSBPL1A
ENSEGOT00005000269.1	IMPACT
ENSEGOT00005000270.1	HRH4
ENSEGOT00005000271.1	HRH4
ENSEGOT00005000272.1	HRH4
ENSEGOT00005000274.1	ZNF521
ENSEGOT00005000276.1	SS18
ENSEGOT00005000277.1	SS18
ENSEGOT00005000278.1	SS18
ENSEGOT00005000279.1	SS18
ENSEGOT00005000280.1	TAF4B
ENSEGOT00005000281.1	KCTD1
ENSEGOT00005000282.1	KCTD1
ENSEGOT00005000283.1	AQP4
ENSEGOT00005000284.1	AQP4
ENSEGOT00005000285.1	CHST9
ENSEGOT00005000286.1	CDH2
ENSEGOT00005000288.1	DSC1
ENSEGOT00005000289.1	DSC1
ENSEGOT00005000290.1	DSG1
ENSEGOT00005000291.1	DSG2
ENSEGOT00005000294.1	B4GALT6
ENSEGOT00005000295.1	TRAPPC8
ENSEGOT00005000296.1	TRAPPC8
ENSEGOT00005000297.1	TRAPPC8
ENSEGOT00005000298.1	MEP1B
ENSEGOT00005000299.1	MEP1B
ENSEGOT00005000300.1	GAREM1
ENSEGOT00005000301.1	GAREM1
ENSEGOT00005000302.1	LOC101234096
ENSEGOT00005000303.1	KLHL14
ENSEGOT00005000305.1	ASXL3
ENSEGOT00005000306.1	ASXL3
ENSEGOT00005000307.1	ASXL3
ENSEGOT00005000308.1	NOL4
ENSEGOT00005000309.1	NOL4
ENSEGOT00005000310.1	DTNA
ENSEGOT00005000311.1	DTNA
ENSEGOT00005000312.1	DTNA
ENSEGOT00005000313.1	DTNA
ENSEGOT00005000315.1	MAPRE2
ENSEGOT00005000316.1	MAPRE2
ENSEGOT00005000317.1	LOC115493875
ENSEGOT00005000319.1	CEBPD
ENSEGOT00005000320.1	PRKDC
ENSEGOT00005000321.1	PRKDC
ENSEGOT00005000322.1	PRKDC
ENSEGOT00005000323.1	PRKDC
ENSEGOT00005000324.1	PRKDC
ENSEGOT00005000325.1	PRKDC
ENSEGOT00005000326.1	PRKDC
ENSEGOT00005000327.1	MCM4
ENSEGOT00005000328.1	MCM4
ENSEGOT00005000329.1	MCM4
ENSEGOT00005000330.1	UBE2V2
ENSEGOT00005000331.1	UBE2V2
ENSEGOT00005000338.1	SNAI2
ENSEGOT00005000339.1	SNTG1
ENSEGOT00005000340.1	PCMTD1
ENSEGOT00005000343.1	ST18
ENSEGOT00005000344.1	ALKAL1
ENSEGOT00005000345.1	RB1CC1
ENSEGOT00005000346.1	OPRK1
ENSEGOT00005000348.1	ATP6V1H
ENSEGOT00005000350.1	TCEA1
ENSEGOT00005000351.1	LYPLA1
ENSEGOT00005000352.1	MRPL15
ENSEGOT00005000353.1	MRPL15
ENSEGOT00005000356.1	XKR4
ENSEGOT00005000357.1	LOC100221139
ENSEGOT00005000358.1	LOC100232645
ENSEGOT00005000359.1	TGS1
ENSEGOT00005000360.1	LYN
ENSEGOT00005000361.1	RPS20
ENSEGOT00005000363.1	MOS
ENSEGOT00005000364.1	PLAG1
ENSEGOT00005000367.1	SDR16C5
ENSEGOT00005000368.1	SDR16C5
ENSEGOT00005000369.1	PENK
ENSEGOT00005000370.1	PENK
ENSEGOT00005000374.1	BPNT2
ENSEGOT00005000378.1	FAM110B
ENSEGOT00005000379.1	UBXN2B
ENSEGOT00005000380.1	UBXN2B
ENSEGOT00005000381.1	CYP7A1
ENSEGOT00005000382.1	SDCBP
ENSEGOT00005000383.1	SDCBP
ENSEGOT00005000384.1	NSMAF
ENSEGOT00005000385.1	TOX
ENSEGOT00005000386.1	CA8
ENSEGOT00005000387.1	RAB2A
ENSEGOT00005000388.1	CHD7
ENSEGOT00005000389.1	CHD7
ENSEGOT00005000390.1	CHD7
ENSEGOT00005000391.1	CHD7
ENSEGOT00005000392.1	CHD7
ENSEGOT00005000393.1	CHD7
ENSEGOT00005000394.1	CHD7
ENSEGOT00005000395.1	CHD7
ENSEGOT00005000397.1	CLVS1
ENSEGOT00005000398.1	CLVS1
ENSEGOT00005000399.1	CLVS1
ENSEGOT00005000400.1	CLVS1
ENSEGOT00005000401.1	CLVS1
ENSEGOT00005000402.1	ASPH
ENSEGOT00005000403.1	ASPH
ENSEGOT00005000404.1	ASPH
ENSEGOT00005000405.1	ASPH
ENSEGOT00005000406.1	NKAIN3
ENSEGOT00005000407.1	GGH
ENSEGOT00005000408.1	TTPA
ENSEGOT00005000409.1	YTHDF3
ENSEGOT00005000410.1	YTHDF3
ENSEGOT00005000412.1	BHLHE22
ENSEGOT00005000413.1	CYP7B1
ENSEGOT00005000414.1	CYP7B1
ENSEGOT00005000417.1	ARMC1
ENSEGOT00005000418.1	ARMC1
ENSEGOT00005000419.1	MTFR1
ENSEGOT00005000420.1	MTFR1
ENSEGOT00005000421.1	PDE7A
ENSEGOT00005000422.1	PDE7A
ENSEGOT00005000423.1	DNAJC5B
ENSEGOT00005000425.1	TRIM55
ENSEGOT00005000426.1	CRH
ENSEGOT00005000427.1	RRS1
ENSEGOT00005000428.1	ADHFE1
ENSEGOT00005000429.1	ADHFE1
ENSEGOT00005000430.1	VXN
ENSEGOT00005000431.1	VXN
ENSEGOT00005000432.1	MYBL1
ENSEGOT00005000433.1	VCPIP1
ENSEGOT00005000435.1	SGK3
ENSEGOT00005000436.1	SGK3
ENSEGOT00005000437.1	SGK3
ENSEGOT00005000438.1	MCMDC2
ENSEGOT00005000439.1	PPP1R42
ENSEGOT00005000440.1	COPS5
ENSEGOT00005000441.1	CSPP1
ENSEGOT00005000442.1	CSPP1
ENSEGOT00005000443.1	ARFGEF1
ENSEGOT00005000444.1	CPA6
ENSEGOT00005000445.1	PREX2
ENSEGOT00005000446.1	C8orf34
ENSEGOT00005000447.1	SULF1
ENSEGOT00005000448.1	SULF1
ENSEGOT00005000450.1	PRDM14
ENSEGOT00005000451.1	PRDM14
ENSEGOT00005000452.1	NCOA2
ENSEGOT00005000454.1	TRAM1
ENSEGOT00005000455.1	LACTB2
ENSEGOT00005000456.1	XKR9
ENSEGOT00005000457.1	EYA1
ENSEGOT00005000458.1	MSC
ENSEGOT00005000459.1	TRPA1
ENSEGOT00005000460.1	KCNB2
ENSEGOT00005000463.1	TERF1
ENSEGOT00005000464.1	SBSPON
ENSEGOT00005000465.1	RPL7
ENSEGOT00005000466.1	RDH10
ENSEGOT00005000469.1	STAU2
ENSEGOT00005000470.1	STAU2
ENSEGOT00005000471.1	UBE2W
ENSEGOT00005000472.1	ELOC
ENSEGOT00005000473.1	TMEM70
ENSEGOT00005000474.1	LY96
ENSEGOT00005000475.1	JPH1
ENSEGOT00005000476.1	GDAP1
ENSEGOT00005000477.1	GDAP1
ENSEGOT00005000478.1	PI15
ENSEGOT00005000479.1	CRISPLD1
ENSEGOT00005000480.1	HNF4G
ENSEGOT00005000481.1	ZFHX4
ENSEGOT00005000483.1	PEX2
ENSEGOT00005000485.1	PKIA
ENSEGOT00005000486.1	ZC2HC1A
ENSEGOT00005000487.1	ZC2HC1A
ENSEGOT00005000488.1	IL7
ENSEGOT00005000491.1	HEY1
ENSEGOT00005000492.1	MRPS28
ENSEGOT00005000493.1	TPD52
ENSEGOT00005000494.1	TPD52
ENSEGOT00005000496.1	ZBTB10
ENSEGOT00005000497.1	ZBTB10
ENSEGOT00005000498.1	ZNF704
ENSEGOT00005000499.1	PAG1
ENSEGOT00005000501.1	FABP5
ENSEGOT00005000502.1	FABP5
ENSEGOT00005000503.1	PMP2
ENSEGOT00005000504.1	FABP4
ENSEGOT00005000505.1	IMPA1
ENSEGOT00005000506.1	ZFAND1
ENSEGOT00005000507.1	CHMP4C
ENSEGOT00005000508.1	SNX16
ENSEGOT00005000511.1	RALYL
ENSEGOT00005000512.1	RALYL
ENSEGOT00005000513.1	SLC7A13
ENSEGOT00005000514.1	LRRCC1
ENSEGOT00005000515.1	E2F5
ENSEGOT00005000517.1	CA13
ENSEGOT00005000519.1	LOC100228865
ENSEGOT00005000520.1	CA2
ENSEGOT00005000521.1	CA2
ENSEGOT00005000524.1	ATP6V0D2
ENSEGOT00005000525.1	WWP1
ENSEGOT00005000526.1	RMDN1
ENSEGOT00005000527.1	WWP1
ENSEGOT00005000528.1	CNGB3
ENSEGOT00005000530.1	MMP16
ENSEGOT00005000532.1	RIPK2
ENSEGOT00005000533.1	LOC100220197
ENSEGOT00005000534.1	OSGIN2
ENSEGOT00005000535.1	NBN
ENSEGOT00005000536.1	MTRES1
ENSEGOT00005000537.1	DECR1
ENSEGOT00005000538.1	BEND3
ENSEGOT00005000539.1	CALB1
ENSEGOT00005000540.1	PDSS2
ENSEGOT00005000541.1	TMEM64
ENSEGOT00005000542.1	NECAB1
ENSEGOT00005000544.1	PIP4P2
ENSEGOT00005000545.1	OTUD6B
ENSEGOT00005000546.1	SLC26A7
ENSEGOT00005000547.1	SLC26A7
ENSEGOT00005000548.1	SOBP
ENSEGOT00005000549.1	SOBP
ENSEGOT00005000550.1	RUNX1T1
ENSEGOT00005000551.1	RUNX1T1
ENSEGOT00005000552.1	RUNX1T1
ENSEGOT00005000553.1	RUNX1T1
ENSEGOT00005000555.1	SCMH1
ENSEGOT00005000554.1	TRIQK
ENSEGOT00005000556.1	CIBAR1
ENSEGOT00005000558.1	SCML4
ENSEGOT00005000557.1	RBM12B
ENSEGOT00005000559.1	TMEM67
ENSEGOT00005000560.1	PDP1
ENSEGOT00005000561.1	CDH17
ENSEGOT00005000562.1	CDH17
ENSEGOT00005000564.1	SEC63
ENSEGOT00005000563.1	GEM
ENSEGOT00005000565.1	RAD54B
ENSEGOT00005000566.1	FSBP
ENSEGOT00005000567.1	LOC100224067
ENSEGOT00005000569.1	VIRMA
ENSEGOT00005000570.1	OSTM1
ENSEGOT00005000571.1	ESRP1
ENSEGOT00005000572.1	LOC115493953
ENSEGOT00005000573.1	DPY19L4
ENSEGOT00005000574.1	NR2E1
ENSEGOT00005000575.1	SNX3
ENSEGOT00005000577.1	AFG1L
ENSEGOT00005000578.1	FOXO3
ENSEGOT00005000580.1	ARMC2
ENSEGOT00005000581.1	ARMC2
ENSEGOT00005000586.1	INTS8
ENSEGOT00005000587.1	INTS8
ENSEGOT00005000588.1	INTS8
ENSEGOT00005000589.1	INTS8
ENSEGOT00005000582.1	SESN1
ENSEGOT00005000583.1	CEP57L1
ENSEGOT00005000584.1	CEP57L1
ENSEGOT00005000585.1	CEP57L1
ENSEGOT00005000591.1	CCNE2
ENSEGOT00005000590.1	CD164
ENSEGOT00005000592.1	TP53INP1
ENSEGOT00005000593.1	NDUFAF6
ENSEGOT00005000594.1	PLEKHF2
ENSEGOT00005000595.1	CFAP418
ENSEGOT00005000598.1	ZBTB24
ENSEGOT00005000596.1	GDF6
ENSEGOT00005000597.1	GDF6
ENSEGOT00005000599.1	UQCRB
ENSEGOT00005000600.1	MTERF3
ENSEGOT00005000601.1	AK9
ENSEGOT00005000602.1	PTDSS1
ENSEGOT00005000603.1	SDC2
ENSEGOT00005000604.1	SDC2
ENSEGOT00005000605.1	CPQ
ENSEGOT00005000606.1	AK9
ENSEGOT00005000607.1	MTDH
ENSEGOT00005000608.1	MTDH
ENSEGOT00005000609.1	RCOR1
ENSEGOT00005000610.1	LAPTM4B
ENSEGOT00005000613.1	ANKRD9
ENSEGOT00005000614.1	TECPR2
ENSEGOT00005000617.1	FIG4
ENSEGOT00005000615.1	MATN2
ENSEGOT00005000618.1	MATN2
ENSEGOT00005000616.1	CINP
ENSEGOT00005000619.1	ZNF839
ENSEGOT00005000620.1	ZNF839
ENSEGOT00005000622.1	RPL30
ENSEGOT00005000624.1	WDR20
ENSEGOT00005000627.1	WDR20
ENSEGOT00005000628.1	WDR20
ENSEGOT00005000629.1	RIDA
ENSEGOT00005000630.1	RIDA
ENSEGOT00005000631.1	RIDA
ENSEGOT00005000632.1	HSP90AA1
ENSEGOT00005000634.1	HSP90AA1
ENSEGOT00005000635.1	GPR6
ENSEGOT00005000633.1	POP1
ENSEGOT00005000636.1	NIPAL2
ENSEGOT00005000637.1	KCNS2
ENSEGOT00005000639.1	WASF1
ENSEGOT00005000638.1	STK3
ENSEGOT00005000640.1	OSR2
ENSEGOT00005000641.1	CDC40
ENSEGOT00005000645.1	DYNC1H1
ENSEGOT00005000647.1	DYNC1H1
ENSEGOT00005000643.1	VPS13B
ENSEGOT00005000644.1	VPS13B
ENSEGOT00005000646.1	COX6C
ENSEGOT00005000648.1	PPP2R5C
ENSEGOT00005000649.1	PPP2R5C
ENSEGOT00005000655.1	RGS22
ENSEGOT00005000656.1	RGS22
ENSEGOT00005000654.1	DDO
ENSEGOT00005000657.1	DLK1
ENSEGOT00005000658.1	FBXO43
ENSEGOT00005000659.1	BEGAIN
ENSEGOT00005000660.1	POLR2K
ENSEGOT00005000661.1	WDR25
ENSEGOT00005000662.1	SLC22A16
ENSEGOT00005000668.1	SLC22A16
ENSEGOT00005000663.1	WARS1
ENSEGOT00005000664.1	SPAG1
ENSEGOT00005000665.1	SLC25A47
ENSEGOT00005000666.1	SLC25A29
ENSEGOT00005000667.1	YY1
ENSEGOT00005000669.1	RNF19A
ENSEGOT00005000670.1	DEGS2
ENSEGOT00005000671.1	DEGS2
ENSEGOT00005000672.1	ANKRD46
ENSEGOT00005000674.1	ANKRD46
ENSEGOT00005000675.1	ANKRD46
ENSEGOT00005000676.1	EVL
ENSEGOT00005000677.1	EVL
ENSEGOT00005000678.1	PABPC1
ENSEGOT00005000679.1	PABPC1
ENSEGOT00005000680.1	YWHAZ
ENSEGOT00005000681.1	EML1
ENSEGOT00005000683.1	EML1
ENSEGOT00005000684.1	EML1
ENSEGOT00005000686.1	EML1
ENSEGOT00005000687.1	CDK19
ENSEGOT00005000688.1	CDK19
ENSEGOT00005000682.1	ZNF706
ENSEGOT00005000685.1	GRHL2
ENSEGOT00005000689.1	NCALD
ENSEGOT00005000692.1	AMD1
ENSEGOT00005000690.1	LOC100219136
ENSEGOT00005000691.1	RRM2B
ENSEGOT00005000693.1	CYP46A1
ENSEGOT00005000694.1	HHIPL1
ENSEGOT00005000695.1	GTF3C6
ENSEGOT00005000696.1	CCDC85C
ENSEGOT00005000697.1	CCNK
ENSEGOT00005000698.1	SETD3
ENSEGOT00005000699.1	RPF2
ENSEGOT00005000700.1	BCL11B
ENSEGOT00005000701.1	BCL11B
ENSEGOT00005000702.1	BCL11B
ENSEGOT00005000714.1	VRK1
ENSEGOT00005000715.1	VRK1
ENSEGOT00005000716.1	SLC16A10
ENSEGOT00005000717.1	PAPOLA
ENSEGOT00005000718.1	PAPOLA
ENSEGOT00005000720.1	AK7
ENSEGOT00005000721.1	AK7
ENSEGOT00005000723.1	AK7
ENSEGOT00005000719.1	MFSD4B
ENSEGOT00005000722.1	MFSD4B
ENSEGOT00005000724.1	GSKIP
ENSEGOT00005000725.1	ATG2B
ENSEGOT00005000726.1	BDKRB1
ENSEGOT00005000727.1	BDKRB1
ENSEGOT00005000728.1	BDKRB1
ENSEGOT00005000729.1	C14orf132
ENSEGOT00005000737.1	REV3L
ENSEGOT00005000730.1	TUNAR
ENSEGOT00005000732.1	GLRX5
ENSEGOT00005000734.1	SYNE3
ENSEGOT00005000735.1	SYNE3
ENSEGOT00005000736.1	CLMN
ENSEGOT00005000738.1	DICER1
ENSEGOT00005000739.1	GSC
ENSEGOT00005000740.1	LOC100229618
ENSEGOT00005000741.1	LOC100232544
ENSEGOT00005000742.1	LOC100232544
ENSEGOT00005000743.1	TRAF3IP2
ENSEGOT00005000744.1	LOC100220049
ENSEGOT00005000745.1	LOC100220049
ENSEGOT00005000746.1	LOC100225789
ENSEGOT00005000747.1	LOC100225789
ENSEGOT00005000751.1	FYN
ENSEGOT00005000754.1	FYN
ENSEGOT00005000749.1	SERPINA10
ENSEGOT00005000750.1	SERPINA10
ENSEGOT00005000752.1	PPP4R4
ENSEGOT00005000753.1	DDX24
ENSEGOT00005000755.1	ASB2
ENSEGOT00005000756.1	ASB2
ENSEGOT00005000758.1	PRIMA1
ENSEGOT00005000764.1	UNC79
ENSEGOT00005000765.1	UNC79
ENSEGOT00005000762.1	TUBE1
ENSEGOT00005000763.1	TUBE1
ENSEGOT00005000770.1	LAMA4
ENSEGOT00005000766.1	BTBD7
ENSEGOT00005000767.1	BTBD7
ENSEGOT00005000768.1	UBR7
ENSEGOT00005000769.1	TMEM251
ENSEGOT00005000771.1	ITPK1
ENSEGOT00005000772.1	CHGA
ENSEGOT00005000773.1	CHGA
ENSEGOT00005000774.1	GOLGA5
ENSEGOT00005000775.1	LGMN
ENSEGOT00005000776.1	RIN3
ENSEGOT00005000777.1	SLC24A4
ENSEGOT00005000778.1	SLC24A4
ENSEGOT00005000849.1	UBR5
ENSEGOT00005000850.1	UBR5
ENSEGOT00005000851.1	UBR5
ENSEGOT00005000853.1	UBR5
ENSEGOT00005000779.1	CPSF2
ENSEGOT00005000780.1	NDUFB1
ENSEGOT00005000781.1	ATXN3
ENSEGOT00005000782.1	ATXN3
ENSEGOT00005000784.1	TRIP11
ENSEGOT00005000785.1	FBLN5
ENSEGOT00005000788.1	TC2N
ENSEGOT00005000789.1	PPP4R3A
ENSEGOT00005000790.1	PPP4R3A
ENSEGOT00005000791.1	HDAC2
ENSEGOT00005000792.1	CCDC88C
ENSEGOT00005000793.1	CCDC88C
ENSEGOT00005000794.1	GPR68
ENSEGOT00005000795.1	HS3ST5
ENSEGOT00005000796.1	DGLUCY
ENSEGOT00005000797.1	RPS6KA5
ENSEGOT00005000798.1	TTC7B
ENSEGOT00005000799.1	CALM1
ENSEGOT00005000800.1	NRDE2
ENSEGOT00005000801.1	PSMC1
ENSEGOT00005000802.1	KCNK13
ENSEGOT00005000807.1	FRK
ENSEGOT00005000808.1	FRK
ENSEGOT00005000803.1	TDP1
ENSEGOT00005000804.1	FOXN3
ENSEGOT00005000805.1	FOXN3
ENSEGOT00005000806.1	TTC8
ENSEGOT00005000809.1	NT5DC1
ENSEGOT00005000811.1	DSE
ENSEGOT00005000817.1	EML5
ENSEGOT00005000818.1	EML5
ENSEGOT00005000819.1	EML5
ENSEGOT00005000812.1	CALHM6
ENSEGOT00005000813.1	TRAPPC3L
ENSEGOT00005000814.1	CALHM5
ENSEGOT00005000815.1	CALHM2
ENSEGOT00005000816.1	RWDD1
ENSEGOT00005000820.1	ZC3H14
ENSEGOT00005000821.1	PTPN21
ENSEGOT00005000822.1	SPATA7
ENSEGOT00005000823.1	SPATA7
ENSEGOT00005000824.1	KCNK10
ENSEGOT00005000825.1	GPR65
ENSEGOT00005000826.1	GALC
ENSEGOT00005000827.1	FLRT2
ENSEGOT00005000830.1	SEL1L
ENSEGOT00005000831.1	STON2
ENSEGOT00005000832.1	STON2
ENSEGOT00005000841.1	ZUP1
ENSEGOT00005000845.1	ZUP1
ENSEGOT00005000847.1	ZUP1
ENSEGOT00005000833.1	GTF2A1
ENSEGOT00005000834.1	TSHR
ENSEGOT00005000835.1	TSHR
